entry_i,entry_time,side,oz,entry_px,entry_reason,entry_cost,entry_atr,best_px,exit_i,exit_time,exit_px,gross_pnl,costs,net_pnl,bars_held,exit_reason
3410,1695996900,1,1.0,1878.66,signal,0.08,,1878.66,3486,1696019700,1849.08,-29.580000000000155,0.16,-29.74000000000015,76,signal
4224,1696425600,1,1.0,1827.92,signal,0.08,,1827.92,4307,1696450500,1818.8,-9.120000000000118,0.16,-9.280000000000118,83,signal
4340,1696464300,1,1.0,1822.44,signal,0.08,,1822.44,4396,1696481100,1828.46,6.019999999999982,0.16,5.859999999999982,56,signal
4809,1696608900,1,1.0,1829.86,signal,0.08,,1829.86,4861,1696624500,1830.44,0.5800000000001546,0.16,0.42000000000015464,52,signal
4890,1696809900,1,1.0,1847.44,signal,0.08,,1847.44,4892,1696810500,1848.2,0.7599999999999909,0.16,0.599999999999991,2,signal
5114,1696877100,1,1.0,1854.96,signal,0.08,,1854.96,5138,1696884300,1863.26,8.299999999999955,0.16,8.139999999999954,24,signal
5165,1696896300,1,1.0,1860.69,signal,0.08,,1860.69,5197,1696905900,1864.36,3.6699999999998454,0.16,3.5099999999998452,32,signal
6145,1697202000,1,1.0,1896.48,signal,0.08,,1896.48,6228,1697226900,1927.97,31.49000000000001,0.16,31.330000000000013,83,signal
6425,1697462700,1,1.0,1923.42,signal,0.08,,1923.42,6508,1697487600,1919.03,-4.3900000000001,0.16,-4.5500000000001,83,signal
6698,1697548500,1,1.0,1926.33,signal,0.08,,1926.33,6781,1697573400,1923.42,-2.9099999999998545,0.16,-3.0699999999998546,83,signal
6971,1697634300,1,1.0,1948.37,signal,0.08,,1948.37,7054,1697659200,1950.6,2.230000000000018,0.16,2.070000000000018,83,signal
7310,1697739900,1,1.0,1966.79,signal,0.08,,1966.79,7338,1697748300,1977.38,10.590000000000146,0.16,10.430000000000145,28,signal
7365,1697760300,1,1.0,1973.17,signal,0.08,,1973.17,7393,1697768700,1974.5,1.3299999999999272,0.16,1.169999999999927,28,signal
7545,1697814300,1,1.0,1987.36,signal,0.08,,1987.36,7611,1697834100,1980.76,-6.599999999999909,0.16,-6.759999999999909,66,signal
8124,1698168900,1,1.0,1974.01,signal,0.08,,1974.01,8162,1698180300,1971.82,-2.1900000000000546,0.16,-2.3500000000000547,38,signal
8189,1698192300,1,1.0,1970.69,signal,0.08,,1970.69,8207,1698197700,1975.16,4.470000000000027,0.16,4.310000000000027,18,signal
