fold,shape,window,signature,long,short,exit,test_pnl,test_sharpe,test_maxdd,test_trades,test_avg,completed_trade_pnl,conflicts
f1,long_only,2024-03-07->2024-09-06,"{""exit"": ""stop1_5"", ""long"": {""direction"": ""high"", ""factor"": ""bb_squeeze"", ""hold"": 4, ""regime"": ""trend_adx"", ""session"": ""new_york"", ""side"": ""long"", ""threshold"": 1.5, ""window"": 672}, ""shape"": ""long_only"", ""short"": null}",long:bb_squeeze:W672:T1.5:H4:trend_adx:new_york,,stop1_5,-198.12,-5.277,-202.99,41,-4.83,-198.12,0
f1,short_only,2024-03-07->2024-09-06,"{""exit"": ""none"", ""long"": null, ""shape"": ""short_only"", ""short"": {""direction"": ""high"", ""factor"": ""close_vs_ema200"", ""hold"": 28, ""regime"": ""trend_adx"", ""session"": ""all"", ""side"": ""short"", ""threshold"": 1.5, ""window"": 2016}}",,short:close_vs_ema200:W2016:T1.5:H28:trend_adx:all,none,59.41,0.892,-104.62,43,1.38,59.41,0
f1,long_short,2024-03-07->2024-09-06,"{""exit"": ""none"", ""long"": {""direction"": ""high"", ""factor"": ""bb_squeeze"", ""hold"": 4, ""regime"": ""trend_adx"", ""session"": ""new_york"", ""side"": ""long"", ""threshold"": 1.5, ""window"": 672}, ""shape"": ""long_short"", ""short"": {""direction"": ""high"", ""factor"": ""close_vs_ema200"", ""hold"": 28, ""regime"": ""trend_adx"", ""session"": ""all"", ""side"": ""short"", ""threshold"": 1.5, ""window"": 2016}}",long:bb_squeeze:W672:T1.5:H4:trend_adx:new_york,short:close_vs_ema200:W2016:T1.5:H28:trend_adx:all,none,-70.86,-0.914,-131.31,84,-0.84,-70.86,0
f2,long_only,2024-09-08->2025-03-07,"{""exit"": ""none"", ""long"": {""direction"": ""low"", ""factor"": ""natr_14"", ""hold"": 28, ""regime"": ""trend_not_choppy"", ""session"": ""all"", ""side"": ""long"", ""threshold"": 1.5, ""window"": 672}, ""shape"": ""long_only"", ""short"": null}",long:natr_14:W672:T1.5:H28:trend_not_choppy:all,,none,24.75,0.862,-32.11,13,1.9,24.75,0
f2,short_only,2024-09-08->2025-03-07,"{""exit"": ""none"", ""long"": null, ""shape"": ""short_only"", ""short"": {""direction"": ""low"", ""factor"": ""rsi_14"", ""hold"": 4, ""regime"": ""none"", ""session"": ""overlap"", ""side"": ""short"", ""threshold"": 2.0, ""window"": 672}}",,short:rsi_14:W672:T2:H4:none:overlap,none,-6.24,-0.273,-46.36,26,-0.24,-6.24,0
f2,long_short,2024-09-08->2025-03-07,"{""exit"": ""none"", ""long"": {""direction"": ""low"", ""factor"": ""atr_28_pct"", ""hold"": 28, ""regime"": ""trend"", ""session"": ""london"", ""side"": ""long"", ""threshold"": 1.5, ""window"": 2016}, ""shape"": ""long_short"", ""short"": {""direction"": ""low"", ""factor"": ""rsi_14"", ""hold"": 4, ""regime"": ""none"", ""session"": ""overlap"", ""side"": ""short"", ""threshold"": 2.0, ""window"": 672}}",long:atr_28_pct:W2016:T1.5:H28:trend:london,short:rsi_14:W672:T2:H4:none:overlap,none,-50.7,-1.631,-84.28,35,-1.45,-50.7,0
f3,long_only,2025-03-09->2025-09-07,"{""exit"": ""none"", ""long"": {""direction"": ""low"", ""factor"": ""natr_14"", ""hold"": 28, ""regime"": ""none"", ""session"": ""all"", ""side"": ""long"", ""threshold"": 1.5, ""window"": 672}, ""shape"": ""long_only"", ""short"": null}",long:natr_14:W672:T1.5:H28:none:all,,none,54.16,0.725,-140.88,44,1.23,54.16,0
f3,short_only,2025-03-09->2025-09-07,"{""exit"": ""none"", ""long"": null, ""shape"": ""short_only"", ""short"": {""direction"": ""high"", ""factor"": ""close_vs_ema200"", ""hold"": 28, ""regime"": ""trend_adx"", ""session"": ""new_york"", ""side"": ""short"", ""threshold"": 2.0, ""window"": 672}}",,short:close_vs_ema200:W672:T2:H28:trend_adx:new_york,none,-22.41,-0.354,-82.55,18,-1.25,-22.41,0
f3,long_short,2025-03-09->2025-09-07,"{""exit"": ""none"", ""long"": {""direction"": ""low"", ""factor"": ""natr_14"", ""hold"": 28, ""regime"": ""none"", ""session"": ""all"", ""side"": ""long"", ""threshold"": 1.5, ""window"": 672}, ""shape"": ""long_short"", ""short"": {""direction"": ""high"", ""factor"": ""close_vs_ema200"", ""hold"": 28, ""regime"": ""trend_adx"", ""session"": ""overlap"", ""side"": ""short"", ""threshold"": 2.0, ""window"": 672}}",long:natr_14:W672:T1.5:H28:none:all,short:close_vs_ema200:W672:T2:H28:trend_adx:overlap,none,24.62,0.256,-179.33,58,0.42,24.62,0
f4,long_only,2025-09-07->2026-03-09,"{""exit"": ""none"", ""long"": {""direction"": ""low"", ""factor"": ""natr_14"", ""hold"": 28, ""regime"": ""trend_not_choppy"", ""session"": ""all"", ""side"": ""long"", ""threshold"": 1.5, ""window"": 672}, ""shape"": ""long_only"", ""short"": null}",long:natr_14:W672:T1.5:H28:trend_not_choppy:all,,none,121.51,1.497,-55.69,24,5.06,121.51,0
